track_uri,track_name,artist,track_popularity
spotify:track:0yLdNVWF3Srea0uzk55zFn,Flowers,Miley Cyrus,100
spotify:track:3nqQXoyQOWXiESFLlDF1hG,Unholy (feat. Kim Petras),Sam Smith,92
spotify:track:6AQbmUe0Qwf5PZnt4HmTXv,Boy's a liar Pt. 2,PinkPantheress,88
spotify:track:4uUG5RXrOk84mYEfFvj3cK,I'm Good (Blue),David Guetta,92
spotify:track:0V3wPSX9ygBnCm8psDIegu,Anti-Hero,Taylor Swift,91
spotify:track:2dHHgzDwk4BJdRwy9uXhTO,Creepin' (with The Weeknd & 21 Savage),Metro Boomin,93
spotify:track:1Qrg8KqiBpW07V7PNxwwwL,Kill Bill,SZA,92
spotify:track:0JXXNGljqupsJaZsgSbMZV,Sure Thing,Miguel,90
spotify:track:0QHEIqNKsMoOY5urbzN48u,Made You Look,Meghan Trainor,89
spotify:track:4LRPiXqCikLlN15c3yImP7,As It Was,Harry Styles,89
spotify:track:1xzi1Jcr7mEi9K2RfzLOqS,CUFF IT,Beyoncé,88
spotify:track:2K8K4pPrufVNrVu2MV8u7I,tell me who hurt you,Meric,40
spotify:track:5Z2MiIZ5I3jJvvmeWMLbOQ,Escapism.,RAYE,89
spotify:track:4k6Uh1HXdhtusDW5y8Gbvy,Bad Habit,Steve Lacy,82
spotify:track:4C6Uex2ILwJi9sZXRdmqXp,Super Freaky Girl,Nicki Minaj,79
spotify:track:7aDxQPHQmH5YZGf9yxIRnn,Falling Apart,Besomorph,51
spotify:track:78Sw5GDo6AlGwTwanjXbGh,Here With Me,d4vd,91
spotify:track:0QBzMgT7NIeoCYy3sJCof1,Bam Bam (feat. Ed Sheeran),Camila Cabello,78
spotify:track:4FyesJzVpA39hbYvcseO2d,Just Wanna Rock,Lil Uzi Vert,88
spotify:track:5MqU9NhTlMa3DxwEhE6z9J,25,RIELL,45
spotify:track:39JofJHEtg8I4fSyo7Imft,B.O.T.A. (Baddest Of Them All) - Edit,Eliza Rose,80
spotify:track:5IgjP7X4th6nMNDh4akUHb,Under The Influence,Chris Brown,88
spotify:track:2SiAcexM2p1yX6joESbehd,LLYLM,ROSALÍA,84
spotify:track:2pnc56RcJj9RVnpVGVmVKB,Memories,Coopex,33
spotify:track:6dgUya35uo964z7GZXM07g,Nonsense,Sabrina Carpenter,86
spotify:track:0vjeOZ3Ft5jvAi9SBFJm1j,Superhero (Heroes & Villains) [with Future & Chris Brown],Metro Boomin,88
spotify:track:3iBgrkexCzVuPy4O9vx7Mf,Glue Song,beabadoobee,76
spotify:track:4lujNg2cQKSFrszRWzkiA0,For You,Jaeger,36
spotify:track:1rrqJ9QkOBYJlsZgqqwxgB,Rush,Ayra Starr,79
spotify:track:4h9wh7iOZ0GGn8QVp4RAOB,I Ain't Worried,OneRepublic,90
spotify:track:3zkyus0njMCL6phZmNNEeN,LET GO,Central Cee,88
spotify:track:4OqVZThHFzi88ir8F5agSs,what about your boyfriend?,Meric,47
spotify:track:4nrPB8O7Y7wsOCJdgXkthe,"Shakira: Bzrp Music Sessions, Vol. 53",Bizarrap,96
spotify:track:2KLwPaRDOB87XOYAT2fgxh,Pussy & Millions (feat. Travis Scott),Drake,81
spotify:track:3i0FkJYlU4MFfYkjFHXXAM,I'm Not Here To Make Friends,Sam Smith,83
spotify:track:4xZ3gU3bsLUDXkv7xS0phG,FAKE,Besomorph,53
spotify:track:4sx6NRwL6Ol3V6m9exwGlQ,Love Again,The Kid LAROI,86
spotify:track:26b3oVLrRUaaybJulow9kz,People,Libianca,85
spotify:track:5ww2BF9slyYgNOk37BlC4u,La Bachata,Manuel Turizo,92
spotify:track:7frsqkhXrbThqsAkTVJDqY,Unholy,Yusuf Alev,43
spotify:track:0WtM2NBVQNNJLh6scP13H8,Calm Down (with Selena Gomez),Rema,91
spotify:track:6PaWZ0PIMxx15YBgCohvXY,Gilded Lily,Cults,62
spotify:track:65FftemJ1DbbZ45DUfHJXE,OMG,NewJeans,90
spotify:track:0Qsbp9di0nwMAr7yIhEaKQ,Home To Me,Rival,45
spotify:track:6UN73IYd0hZxLi8wFPMQij,Players,Coi Leray,86
spotify:track:0mBP9X2gPCuapvpZ7TGDk3,Left and Right (Feat. Jung Kook of BTS),Charlie Puth,80
spotify:track:11BKm0j4eYoCPPpCONAVwA,Bloody Mary,Lady Gaga,77
spotify:track:0jLQ1SiuIfS1RQZgG70bel,changes,Diphda,44
spotify:track:2WigMwGJysIh9fRnSJvpjn,KU LO SA - A COLORS SHOW,Oxlade,78
spotify:track:4iZ4pt7kvcaH6Yo8UoZ4s2,Snooze,SZA,88
