track_uri,danceability,valence,energy,tempo,loudness,speechiness,instrumentalness,liveness,acousticness,key
spotify:track:0yLdNVWF3Srea0uzk55zFn,0.707,0.646,0.681,117.999,-4.325,0.0668,5.15e-06,0.0322,0.0632,0
spotify:track:3nqQXoyQOWXiESFLlDF1hG,0.714,0.238,0.472,131.121,-7.375,0.0864,4.51e-06,0.266,0.013,2
spotify:track:6AQbmUe0Qwf5PZnt4HmTXv,0.696,0.857,0.809,132.962,-8.254,0.05,0.000128,0.248,0.252,5
spotify:track:4uUG5RXrOk84mYEfFvj3cK,0.561,0.304,0.965,128.04,-3.673,0.0343,7.07e-06,0.371,0.00383,7
spotify:track:0V3wPSX9ygBnCm8psDIegu,0.637,0.533,0.643,97.008,-6.571,0.0519,1.8e-06,0.142,0.13,4
spotify:track:2dHHgzDwk4BJdRwy9uXhTO,0.715,0.172,0.62,97.95,-6.005,0.0484,0.0,0.0822,0.417,1
spotify:track:1Qrg8KqiBpW07V7PNxwwwL,0.644,0.418,0.735,88.98,-5.747,0.0391,0.144,0.161,0.0521,8
spotify:track:0JXXNGljqupsJaZsgSbMZV,0.684,0.498,0.607,81.001,-8.127,0.1,0.000307,0.191,0.0267,11
spotify:track:0QHEIqNKsMoOY5urbzN48u,0.838,0.884,0.525,144.981,-3.562,0.0665,1.92e-06,0.0771,0.345,10
spotify:track:4LRPiXqCikLlN15c3yImP7,0.52,0.662,0.731,173.93,-5.338,0.0557,0.00101,0.311,0.342,6
spotify:track:1xzi1Jcr7mEi9K2RfzLOqS,0.78,0.642,0.689,115.042,-5.668,0.141,9.69e-06,0.0698,0.0368,7
spotify:track:2K8K4pPrufVNrVu2MV8u7I,0.545,0.297,0.89,147.056,-5.395,0.101,2.06e-06,0.252,0.205,9
spotify:track:5Z2MiIZ5I3jJvvmeWMLbOQ,0.538,0.25,0.742,96.107,-5.355,0.114,4.67e-05,0.0934,0.138,2
spotify:track:4k6Uh1HXdhtusDW5y8Gbvy,0.686,0.7,0.494,168.946,-7.093,0.0355,5.8e-05,0.402,0.613,1
spotify:track:4C6Uex2ILwJi9sZXRdmqXp,0.95,0.912,0.891,133.01,-2.653,0.241,1.77e-05,0.309,0.0645,2
spotify:track:7aDxQPHQmH5YZGf9yxIRnn,0.738,0.264,0.678,110.023,-6.107,0.0406,0.0,0.272,0.303,7
spotify:track:78Sw5GDo6AlGwTwanjXbGh,0.574,0.288,0.469,132.023,-8.209,0.0254,9.21e-05,0.128,0.534,4
spotify:track:0QBzMgT7NIeoCYy3sJCof1,0.756,0.956,0.697,94.996,-6.377,0.0401,0.0,0.333,0.182,8
spotify:track:4FyesJzVpA39hbYvcseO2d,0.486,0.0385,0.545,150.187,-7.924,0.0336,0.00474,0.0642,0.0652,11
spotify:track:5MqU9NhTlMa3DxwEhE6z9J,0.561,0.532,0.572,168.134,-6.303,0.156,0.0,0.0834,0.143,2
spotify:track:39JofJHEtg8I4fSyo7Imft,0.736,0.698,0.906,137.001,-7.589,0.048,0.585,0.106,0.164,0
spotify:track:5IgjP7X4th6nMNDh4akUHb,0.733,0.31,0.69,116.992,-5.529,0.0427,1.18e-06,0.105,0.0635,9
spotify:track:2SiAcexM2p1yX6joESbehd,0.555,0.555,0.634,170.228,-5.522,0.273,2.32e-06,0.188,0.129,6
spotify:track:2pnc56RcJj9RVnpVGVmVKB,0.59,0.0857,0.668,127.87,-7.169,0.0949,3.94e-05,0.133,0.506,11
